Word,Pronunciation,Syllables,Frequency
AACHEN,"['AA', 'K AH N']","['AA', 'CHEN']",751750
AARDVARK,"['AA R D', 'V AA R K']","['AARD', 'VARK']",629356
AARHUS,"['AA', 'HH UW S']","['AAR', 'HUS']",596188
AARON,"['EH', 'R AH N']","['AA', 'RON']",11698784
ABACK,"['AH', 'B AE K']","['A', 'BACK']",272920
ABACO,"['AE', 'B AH', 'K OW']","['AB', 'A', 'CO']",225849
ABACUS,"['AE', 'B AH', 'K AH S']","['AB', 'A', 'CUS']",1017068
ABALONE,"['AE', 'B AH', 'L OW', 'N IY']","['AB', 'A', 'LO', 'NE']",518562
ABANDON,"['AH', 'B AE N', 'D AH N']","['A', 'BAN', 'DON']",2747961
ABANDONED,"['AH', 'B AE N', 'D AH N D']","['A', 'BAN', 'DONED']",6371760
ABANDONMENT,"['AH', 'B AE N', 'D AH N', 'M AH N T']","['A', 'BAN', 'DON', 'MENT']",1297503
ABATE,"['AH', 'B EY T']","['A', 'BATE']",470646
ABATED,"['AH', 'B EY', 'T IH D']","['A', 'BAT', 'ED']",250433
ABATEMENT,"['AH', 'B EY T', 'M AH N T']","['A', 'BATE', 'MENT']",1606065
ABATING,"['AH', 'B EY', 'T IH NG']","['A', 'BAT', 'ING']",90502
ABATTOIR,"['AE', 'B AH', 'T W AA R']","['AB', 'A', 'TTOIR']",160074
ABBA,"['AE', 'B AH']","['A', 'BBA']",1670093
ABBE,"['AE', 'B IY']","['A', 'BBE']",303739
ABBEVILLE,"['AE B', 'V IH L']","['A', 'BBE', 'VILLE']",487728
ABBEY,"['AE', 'B IY']","['A', 'BBEY']",4224864
ABBIE,"['AE', 'B IY']","['A', 'BBIE']",444814
ABBOT,"['AE', 'B AH T']","['A', 'BBOT']",992552
ABBOTT,"['AE', 'B AH T']","['A', 'BBOTT']",3143893
ABBOUD,"['AH', 'B UW D']","['A', 'BBOUD']",183991
ABBREVIATE,"['AH', 'B R IY', 'V IY', 'EY T']","['A', 'BBRE', 'VI', 'ATE']",140105
ABBREVIATED,"['AH', 'B R IY', 'V IY', 'EY', 'T IH D']","['A', 'BBRE', 'VI', 'AT', 'ED']",1217434
ABBREVIATING,"['AH', 'B R IY', 'V IY', 'EY', 'T IH NG']","['A', 'BBRE', 'VI', 'AT', 'ING']",21824
