Word,Pronunciation,Syllables,Frequency
A,['AH'],['A'],9081174698
AABERG,"['AA', 'B ER G']","['AA', 'BERG']",18972
AACHEN,"['AA', 'K AH N']","['AA', 'CHEN']",751750
AACHENER,"['AA', 'K AH', 'N ER']","['AA', 'CHE', 'NER']",13182
AAH,['AA'],['AAH'],339838
AAKER,"['AA', 'K ER']","['AA', 'KER']",33435
AALIYAH,"['AA', 'L IY', 'AA']","['AA', 'LIY', 'AH']",3330218
AAMODT,"['AA', 'M AH T']","['AA', 'MODT']",31269
AARDEMA,"['AA R', 'D EH', 'M AH']","['AAR', 'DE', 'MA']",21950
AARDVARK,"['AA R', 'D V AA R K']","['AAR', 'DVARK']",629356
AARDVARKS,"['AA R', 'D V AA R K S']","['AAR', 'DVARKS']",34369
AARGH,['AA R G'],['AARGH'],71592
AARHUS,"['AA', 'HH UW S']","['AA', 'RHUS']",596188
AARON,"['EH R', 'AH N']","['AAR', 'ON']",11698784
AARONS,"['EH R', 'AH N Z']","['AAR', 'ONS']",238761
AARONSON,"['EH R', 'AH N', 'S AH N']","['AAR', 'O', 'NSON']",91216
AARTI,"['AA R', 'T IY']","['AAR', 'TI']",63273
AASE,['AA S'],"['AA', 'SE']",37765
AASEN,"['AA', 'S AH N']","['AA', 'SEN']",19449
AB,['AE B'],['AB'],24218038
ABABA,"['AH', 'B AA', 'B AH']","['A', 'BA', 'BA']",514159
ABACHA,"['AE', 'B AH', 'K AH']","['A', 'BA', 'CHA']",94146
ABACK,"['AH', 'B AE K']","['A', 'BACK']",272920
ABACO,"['AE', 'B AH', 'K OW']","['A', 'BA', 'CO']",225849
ABACUS,"['AE', 'B AH', 'K AH S']","['A', 'BA', 'CUS']",1017068
ABAD,"['AH', 'B AA D']","['A', 'BAD']",193291
ABADI,"['AH', 'B AE', 'D IY']","['A', 'BA', 'DI']",101263
ABADIE,"['AH', 'B AE', 'D IY']","['A', 'BA', 'DIE']",27501
ABAIR,"['AH', 'B EH R']","['A', 'BAIR']",32093
ABALONE,"['AE', 'B AH', 'L OW', 'N IY']","['A', 'BA', 'LONE']",518562
ABALOS,"['AA', 'B AA', 'L OW Z']","['A', 'BA', 'LOS']",17658
ABANDON,"['AH', 'B AE N', 'D AH N']","['A', 'BAN', 'DON']",2747961
ABANDONED,"['AH', 'B AE N', 'D AH N D']","['A', 'BAN', 'DO', 'NED']",6371760
ABANDONING,"['AH', 'B AE N', 'D AH', 'N IH NG']","['A', 'BAN', 'DO', 'NING']",778900
ABANDONMENT,"['AH', 'B AE N', 'D AH', 'N M AH N T']","['A', 'BAN', 'DON', 'MENT']",1297503
ABANDONMENTS,"['AH', 'B AE N', 'D AH', 'N M AH N T S']","['A', 'BAN', 'DON', 'MENTS']",17891
ABANDONS,"['AH', 'B AE N', 'D AH N Z']","['A', 'BAN', 'DONS']",328497
ABARCA,"['AH', 'B AA R', 'K AH']","['A', 'BAR', 'CA']",19445
ABARE,"['AA', 'B AA R', 'IY']","['A', 'BARE']",64788
ABASCAL,"['AE', 'B AH S', 'K AH L']","['A', 'BAS', 'CAL']",30082
ABASHED,"['AH', 'B AE SH T']","['A', 'BA', 'SHED']",47881
ABATE,"['AH', 'B EY T']","['A', 'BATE']",470646
ABATED,"['AH', 'B EY', 'T IH D']","['A', 'BA', 'TED']",250433
ABATEMENT,"['AH', 'B EY', 'T M AH N T']","['A', 'BA', 'TE', 'MENT']",1606065
ABATEMENTS,"['AH', 'B EY', 'T M AH N T S']","['A', 'BA', 'TE', 'MENTS']",82342
ABATES,"['AH', 'B EY T S']","['A', 'BA', 'TES']",36543
ABATING,"['AH', 'B EY', 'T IH NG']","['A', 'BA', 'TING']",90502
ABATTOIR,"['AE', 'B AH', 'T W AA R']","['A', 'BA', 'TTOIR']",160074
ABBA,"['AE', 'B AH']","['A', 'BBA']",1670093
ABBADO,"['AH', 'B AA', 'D OW']","['A', 'BBA', 'DO']",94193
ABBAS,"['AH', 'B AA S']","['A', 'BBAS']",1437558
ABBASI,"['AA', 'B AA', 'S IY']","['A', 'BBA', 'SI']",71005
ABBATE,"['AA', 'B EY T']","['A', 'BBATE']",59839
ABBE,"['AE', 'B IY']","['A', 'BBE']",303739
ABBETT,"['AH', 'B EH T']","['A', 'BBETT']",46211
ABBEVILLE,"['AE', 'B V IH L']","['A', 'BBE', 'VI', 'LLE']",487728
ABBEY,"['AE', 'B IY']","['A', 'BBEY']",4224864
ABBIE,"['AE', 'B IY']","['A', 'BBIE']",444814
ABBITT,"['AE', 'B IH T']","['A', 'BBITT']",19058
ABBOT,"['AE', 'B AH T']","['A', 'BBOT']",992552
ABBOTT,"['AE', 'B AH T']","['A', 'BBOTT']",3143893
ABBOTTSTOWN,"['AE', 'B AH T S', 'T AW N']","['A', 'BBOTTSTOWN']",23784
ABBOUD,"['AH', 'B UW D']","['A', 'BBOUD']",183991
ABBREVIATE,"['AH', 'B R IY', 'V IY', 'EY T']","['A', 'BBRE', 'VIA', 'TE']",140105
ABBREVIATED,"['AH', 'B R IY', 'V IY', 'EY', 'T IH D']","['A', 'BBRE', 'VIA', 'TED']",1217434
ABBREVIATES,"['AH', 'B R IY', 'V IY', 'EY T S']","['A', 'BBRE', 'VIA', 'TES']",20247
ABBREVIATING,"['AH', 'B R IY', 'V IY', 'EY', 'T IH NG']","['A', 'BBRE', 'VIA', 'TING']",21824
ABBREVIATION,"['AH', 'B R IY', 'V IY', 'EY', 'SH AH N']","['A', 'BBRE', 'VIA', 'TION']",1693819
ABBREVIATIONS,"['AH', 'B R IY', 'V IY', 'EY', 'SH AH N Z']","['A', 'BBRE', 'VIA', 'TIONS']",3703739
ABBRUZZESE,"['AA', 'B R UW', 'T S EY', 'Z IY']","['A', 'BBRU', 'ZZESE']",12802
ABBS,['AE B Z'],['ABBS'],45751
ABBY,"['AE', 'B IY']","['A', 'BBY']",1962559
ABDALLA,"['AE', 'B D AE', 'L AH']","['A', 'BDA', 'LLA']",60130
ABDALLAH,"['AE', 'B D AE', 'L AH']","['A', 'BDA', 'LLAH']",214016
ABDICATES,"['AE', 'B D AH', 'K EY T S']","['A', 'BDI', 'CA', 'TES']",20944
ABDICATION,"['AE', 'B D IH', 'K EY', 'SH AH N']","['A', 'BDI', 'CA', 'TION']",128143
ABDOLLAH,"['AE', 'B D AA', 'L AH']","['A', 'BDO', 'LLAH']",13918
ABDOMINAL,"['AE', 'B D AA', 'M AH', 'N AH L']","['A', 'BDO', 'MI', 'NAL']",3090148
ABDUCTION,"['AE', 'B D AH', 'K SH AH N']","['A', 'BDUC', 'TION']",1188510
ABDUCTIONS,"['AE', 'B D AH', 'K SH AH N Z']","['A', 'BDUC', 'TIONS']",264843
ABDUCTORS,"['AE', 'B D AH', 'K T ER Z']","['A', 'BDUC', 'TORS']",83053
ABDUL,"['AE', 'B D UW L']","['A', 'BDUL']",2181993
ABDULAZIZ,"['AE', 'B D UW', 'L AH', 'Z IY Z']","['A', 'BDU', 'LA', 'ZIZ']",97341
ABDULLA,"['AA', 'B D UW', 'L AH']","['A', 'BDU', 'LLA']",98271
ABDULLAH,"['AE', 'B D AH', 'L AH']","['A', 'BDU', 'LLAH']",1417098
ABE,['EY B'],['ABE'],2420884
ABED,"['AH', 'B EH D']","['A', 'BED']",147933
