correct,incorrect
NEVADA,NEVADE
PRESBYTERIAN,PRESBYTERIAN
RSX,RSX
STEPHEN,STEFFEN
SUSAN,SUSAN
ABILITY,ABILITEY
ABOUT,ABOUY
ABSORPTION,ABSORBTION
ACCIDENTALLY,ACCIDENTLY
ACCOMMODATE,ACCOMODATE
ACCOMMODATE,ACOMMADATE
ACCORD,ACORD
ACQUAINTANCE,AQUANTANCE
ACQUIRE,EQUIRE
ADULTERY,ADULTRY
AGGRESSIVE,AGGRESIVE
ALCOHOL,ALCHOHOL
ALCOHOLIC,ALCHOHOLIC
ALIVE,ALLIEVE
ALL_RIGHT,ALRIGHT
AMATEUR,AMATURE
AMBIVALENT,AMBIVILANT
AMORPHOUS,AMOURFOUS
AMPLIFICATION,AMIFICATION
ANATOMY,ANONOMY
ANATOMY,ANOTOMY
ANNOUNCE,ANNUNCIO
ANNOUNCEMENT,ANNONSMENT
ANOINT,ANNOINT
ANONYMOUS,ANYNOMOUS
APPRECIATE,APPRESTEATE
APPRECIATED,APPRECEIATED
ARCHETYPE,ARCHEYPE
ARCHITECTURE,ARATICTATURE
ARCHITECTURE,ARICTICURE
ARCTIC,ARTIC
ASTERISK,ASTERICK
ASYMMETRIC,ASYMETRIC
ASYMPTOTE,ASENTOTE
AT,AST
ATTENTIVELY,ATENTIVELY
AUTOMATICALLY,AUTOAMLLY
BANKRUPT,BANKROT
BASICALLY,BASICLY
BATTALION,BATALLION
BEGINNING,BEGGINING
BEGINNING,BEGING
BEGINNING,BIGGINGING
BEHAVIOR,BEHAVIOUR
BEHAVIOUR,BEHAVIOR
BELIEVE,BELEIVE
BELIEVE,BELIVE
BENEFITS,BENIDIFS
BETTER,METTER
BLEAT,BLAIT
BOYCOTT,BOYGOT
BROCCOLI,BROCOLLI
BROWSE,BBROSE
BUOYANT,BOUYANT
BUREAU,BEAURO
BUREAUCRACY,BEAUROCRACY
BUREAUCRACY,BURACRACY
BUREAUCRACY,BURRACRACY
BUSH,BUCH
BUTTER,BUDER
BUTTER,BUDR
BUTTER,BUDTER
BUTTON,BUTON
BY_BY,BYBY
CALLER,CAULER
CAME,GAMNE
CAVEATS,CRAVETS
CEMETERY,CEMETARY
CHANGING,CHANGEING
CHEAT,CHEET
CIRCLE,CICLE
CIRCLE,CIRCUE
CIRCUMSTANCES,CIRCUMSTACES
CLUB,CLOB
COCKAMAMIE,COCAMENA
COLLEAGUE,COLLEAQUE
COLLOQUIALISM,COLLOQUILISM
COLON,COALN
COLUMN,COLUMNE
COMBO,CUMBA
COMMERCIALS,COMMERCIASL
COMMITMENT,COMITMMENT
COMMITMENT,COMITTMEN
COMMITMENT,COMITTMEND
COMMITTED,COMMITED
COMMITTEE,COMITTE
COMMITTEE,COMMITEE
COMPANIES,COMPANYS
COMPILER,COMILER
COMPLICATED,COMPICATED
COMPUTER,COMUPTER
CONGRATULATIONS,CONGRADULATIONS
CONSENSUS,CONCENSUS
CONSISTENT,CONSIDENT
CONSONANT,CONSIDENT
CONSTANT,CONTAST
CONSTANT,CONTASTANT
CONTINUE,CONTUNIE
CONTRIBUTION,CONIBATION
COOLLY,COOLY
COPING,COPPING
COSMOPOLITAN,COSMOPLYTON
COURT,COURST
CRAZY,CRASY
CREDIBILITY,CREDETABILITY
CRITIQUE,CRIQITUE
CRITIQUE,CTITIQUE
CROAK,CROKE
CRUCIFIED,CRUSIFED
CRUCIFIXION,CRUCIFICTION
CUSTOMIZATION,CUSTAMISATION
DAILY,DALY
DANGEROUS,DANGUAGES
DANGLE,DONGLE
DECISION,DISITION
DEFENCE,DEFENSE
DEFENSE,DEFENCE
DEFIANTLY,DEFENLY
DEFINITE,DEFINATE
DEFINITELY,DEFINATELY
DEITIES,DIETIES
DEPENDABLE,DEPENDEBLE
DESCRIPTION,DESCRPTION
DESCRIPTION,DESCRPTN
DESICCATE,DESSICATE
DESPAIR,DISPAIR
DESPERATE,DESPARATE
DESTROY,DISTROY
DEVELOPMENT,DEVELOPEMENT
DEVELOPMENT,DEVELPOND
DEVELOPMENTS,DEVELEPMENT
DICTIONARY,DUCTIONEERY
DINOSAUR,DINASAUR
DINOSAUR,DINASOUR
DIRECTLY,DIRECYLY
DISAGREE,DIAGREE
DISCUSS,DISCUESS
DISCUSSION,DISSSICION
DISSECT,DISECT
DISSIPATE,DISIPPATE
DISTANT,DESTINT
DISTORT,DISTART
DISTRACT,DISTARCT
DIVULGE,DEVULGE
DOCUMENTATION,DOCUMTATIONS
DOG,DAG
DOG,DOOG
DOWNLOAD,DOENLOAD
DRAFT,DEAFT
DRAMATICALLY,DRAMATICLY
DRUNKENNESS,DRUNKENESS
DUE,DUR
DURING,DUREN
DYNAMIC,DYMATIC
DYNAMIC,DYNAIC
ECSTASY,ECSTACY
EFFICACY,EFFICITY
EFFICIENT,EFFICAT
EFFORTS,EFFOTS
ELEGANT,ELAGENT
ELEGANT,ELLIGIT
EMBARRASS,EMBARASS
EMBARRASS,EMBARESS
EMBARRASSMENT,EMBARASSMENT
EMBED,IMBED
ENCAPSULATION,ENCAPSUALTION
ENCYCLOPEDIA,ENCYCLAPIDIA
ENCYCLOPEDIA,ENCYCLOPIA
ENGINE,ENGINS
ENHANCE,ENHENCE
ENLIGHTENMENT,ENLIGTMENT
ENNUI,ENNUUI
ENOUGH,ENOUGHT
ENVIRONMENT,ENVIROMENT
ENVIRONMENTAL,ENVIREMINAKL
ENVIRONMENTAL,INVERMEANTIAL
EPITOME,EPITOMY
ERROR,ERRARA
ERROR,ERRO
ESPRESSO,EXPRESSO
ETIOLOGY,EITIOLOGY
EVALUATION,EVAUALTION
EVENTUALLY,EVTUALLY
EVERYTHING,EVETHING
EXCEED,EXCEDE
EXCEPT,EXCPT
EXECUTION,EXCUTION
EXERCISE,EXCERCISE
EXHILARATION,EXHILERATION
EXISTENCE,EGSISTENCE
EXISTENCE,EXISTANCE
EXPEDIENT,EXSPIDIENT
EXPLICITLY,EXPLEYLY
EXPLICITLY,EXPLITY
EXTENSIONS,EXTIONS
FACTORIZATION,FACTONTION
FAILURE,FAILER
FANTASIA,PHANTASIA
FANTASY,FAMDASY
FAVOR,FAVER
FAVOUR,FAVER
FAX,FAXE
FESTIVAL,FISTIVAL
FIERY,FIREY
